userName,score,at,content
Muhammad fadzlul Roziqin,1,2024-11-01 08:47:39,"akun saya di ban 3x dalam rentang waktu ga sampai 24jam, saya tidak merasa saya melakukan pelanggaran, spam, or konten pornografi, saya murni cuma main telegram berkomunikasi sama teman teman saya yang berada di luar pulau, tapi saya di ban, lagi lagi dan lagi."
King Alex,1,2024-11-01 04:37:54,"Mau login sangat susah, admin nya juga tidak peduli pada pengguna TELEGRAM, tidak ada yang di balas pesannya sama sekali, uninstall saja aplikasi ini"
ALDY PRAMUDYA,1,2024-11-01 02:12:49,"Gamenya jelek, gambar nya ada pesawat kertasnya, eh pas masuk malah isinya kayak Messenger, kecewa ihh, gk sesuai ama gambar"
Puji Agung Rahmawati,1,2024-11-01 01:51:37,"Kemanan sangat tidak terstruktur. Akun mudah dihack, penghapussan akun tidak ada, hendak log out akun tidak bisa. Tolong perbaiki kembali"
Zhongli Uke,2,2024-10-31 13:25:39,"Ini si dah lumayan aplikasi nya tapi kok kalo mau ganti nomor ke yg baru gak bisa yah, tolong kode nya lama kirim nya 🙁"
myDroid,3,2024-10-31 12:32:22,perbaiki deteksi akun login/logout. beberapa kali akun sudah logout tapi ketika mau login kode otp masuk ke perangkat lain. kocak
Ariani Bandahari,1,2024-10-31 12:02:30,"telegram saya tiba' tidak bisa di buka, tiap mau pencet pasti kembali sendiri ke layar utama sering ada pemberitahuan ""telegram telah di berhentikan """
Nur Hayati,3,2024-10-31 11:57:05,"Bagaimana cara login lagi? Dulu pernah bikin tele pakai nomor yg lama yg sudah hilang kartunya, sekarang download lagi terus pakai nomor yg baru pemberitahuannya : kode sudah di kirimkan ke apk telegram, padahal kan baru mau login."
Deni Saputra47,2,2024-10-31 10:07:14,"wallet di tele ada saldonya. mau login tp salah pasword Mulu, pdhl udh verifikasi 2. ga ada apa solusinya bossss, masa iya reset akun😴😴😴"
Vinasya R.L,5,2024-10-31 07:58:10,"bermanfaat banget sii menurut saya, download video tiktok nggaperlu susah ke google dulu langsung ke sini aja xixi,tapi kata temen saya ini ngga aman,emang iya,tapi katanya aman-aman aja jadi yang bener yang mana"
Sammy Setiawan (Samz Store),1,2024-10-31 07:04:24,"Perbaiki lagi dong! Tidak merasa spam link malah di ceklis spam link. Tolong ini kebijakan nya diubah! Terlalu ketat ini! Dulu sejak saya gak login di PC aman2 aja, sekarang malah ""Maaf, anda hanya dapat mengirim pesan untuk mutual kontak saat ini"" apalah! Perbaiki itu sebelum pengguna lainnya terseret juga!"
Risal Tinus,2,2024-10-31 04:34:14,Untuk telegram saya kasih bintang 2 karena saya sudah berapa kali mencoba untuk mendaftar tetapi kode verifikasinya tetap tidak masuk saya sudah cek jaringan bagus mastikan ulang hp udah tetapi hasilnya sama saya juga sudah cari tutor di YouTube tapi sama saja mohon bantuannya pihak yang mengelola apk ini
Heni Ismaya,3,2024-10-31 03:21:55,Kenapa tiap mau upload video yg udh di kompres di apk nyah jadi 1gb lebih jadi aneh tolong lah perbaiki saat upload malah ngulang dari awal lgi bikin kecewa tolong perbaiki lgi
nur istiqomah,1,2024-10-31 03:14:10,Gara2 masuk link info loker. Telegram ada yg ng.hack. keterangannya ada yg login di hp lain. Giliran di enkripsi 2x mlah punyaku ikut log out dan gabisa login lagi.
MY Channel,1,2024-10-30 18:14:17,"Code tidak bisa masuk di pesan sori kasih bintang 1 aja soalnya gada solusi dari pihak telegram, padahal sudah di email tapi gaada jawaban"
Herwi Risma,1,2024-10-30 16:17:02,"Telegram jelek kali, gk ad privasi apa, maska pesan terkirim tanpa kita kirim, jd org kira emg kita yg kirim sumpah Telegram jelek banget"
Muhammad M. Pd,1,2024-10-30 15:08:15,"Susah dibuka beda dengan aplikasi lain, siap download lansung bisa, ini loding nya lama kali, entah dimana kesalahannya sudah dihapus beberapa kali dan di download lagi, hasilnya masih sama"
Wilda Aderiani Pasaribu,1,2024-10-30 14:46:31,"Anehh banget telegram versi sekarang, versi dulu mah enak ga bikin pusing dan ribet. Klo yg sekarang mau login atau buat akun baru aja ribet amat aduhh. Anehnya lagi kode verifikasi nya di kirim ke tele padahal kan mau login ke apk dan baru pertama kali daftar akun baru, padahal no dah bener tau dehh. Tolong dong di update lagi biar mempermudah user"
Anton Afriansyah,1,2024-10-30 13:46:46,"saya sudah pake apk ini dari tahun 2017 aman aman sajah tapi parah telegram versi sekarang banyak kendala contoh nya banyak oknum yg tidak bertanggung jawab,, tiba tiba ada iklan atau apa gtu di klik telegram sendiri malah kena hack,, 😢😢 tolonglah kiranya yg seperti itu di perbaiki"
Slamet Edy,1,2024-10-30 12:36:08,Kenapa susah sekali daftar telegram sudah memasukkan nomer yg benar tetap tidak dapat nomor verivikasi dan sekarang tidak bisa daftar
Naisylla khoerotun,4,2024-10-30 10:03:52,"apknya bagus bagus aja, cmn yang paling ngeselin kalau lagi chat tiba"" suka pending, jdi nya ngebalesnya agak lama, ini paling ganggu banget, data masih ada, sinyal jg bagus, masih aja pending telenya, apalagi kalau lagi asik asiknya nge chat tmn, jadi tmn hrs nunggu aku bls. Tolong perbaiki ini ya."
Andri Muhamadandri,3,2024-10-30 09:57:36,"Telegram aplikasi sampah gw sampai gonta ganti kartu 20,kali tetap aja nggak bisa login gada kode ferivikasi nya coba betulin supayah memadai aplikasi nya buang2 duit wuktu juga cape gw bolak balik ke conter cuma buat ganti kartu klw nggak cepat2 di betulin loe nggak bakalan dapat bintang,5 bintang,2 aja loe nggak bakalan dapat yag ada banyak yag uninstal aplikasi ini"
Zulfan Afandi Zarkasyi,1,2024-10-29 16:56:51,"Gak bisa buat akun baru karena tidak nerima kode OTP lewat SMS, OTPnya katanya udah terkirim di pesan telegram di device lain, padahal ini pakai kartu baru, belum pernah daftar telegram sebelumnya."
13_ Gusti Ayu Putu Alya Nathania Putri,1,2024-10-29 11:34:42,"Bisa gak sih kalok mau login aja gak usah dibikin ribet, saya mau login setelah beli kartu baru tapi pesan tetel aja bilang ""pesan akan dikirimkan ke device lain"" dan akhirnya saya ga pernah bisa login, mau masuk makek email aja gak bisa . Tolonh perbaikin lagi dong ribet banget"
